Summary:
Estimated Reach,911
Impressions,968
Tweets,4
Contributors,3

Activity:
Period,Tweets
2015-11-26 00:00 UTC,1
2015-11-27 00:00 UTC,2
2015-11-28 00:00 UTC,0
2015-11-29 00:00 UTC,0
2015-11-30 00:00 UTC,0
2015-12-01 00:00 UTC,0
2015-12-02 00:00 UTC,1

Tweet Types:
Type,Count
Regular,1
Replies,1
Retweets,2

Exposure:
Range,Count
0-99 Followers,2
100-999 Followers,2
1000-9999 Followers,0
10000-99999 Followers,0
100000+ Followers,0

Contributors:
Id,Screen_Name,Tweets,Mentions,Retweets,Impressions,URL
380588839,LukeGreysmith,1,3,0,657,http://twitter.com/LukeGreysmith
3248468685,urbanlandplan,1,0,0,232,http://twitter.com/urbanlandplan
3091330246,UELSRI,2,2,2,79,http://twitter.com/UELSRI

Tweets:
Id,Screen_Name,Text,Time,Retweets,Impressions,URL 
672048012189921280,UELSRI,@TurasCities that picture looks familiar #turasGI Barking Riverside. Good 2 see the case studies being well received https://t.co/MA03nfc4tZ,2015-12-02 13:41 UTC,0,1,http://twitter.com/UELSRI/statuses/672048012189921280 
670211334949232640,urbanlandplan,RT @UELSRI: Huge congrats @lukegreysmith and @TowerHamletsNow for #LIAwards great to see SUDS guidance brought to life https://t.co/x1JDZiY…,2015-11-27 12:03 UTC,0,232,http://twitter.com/urbanlandplan/statuses/670211334949232640 
670189829716582400,LukeGreysmith,RT @UELSRI: Huge congrats @lukegreysmith and @TowerHamletsNow for #LIAwards great to see SUDS guidance brought to life https://t.co/x1JDZiY…,2015-11-27 10:38 UTC,0,657,http://twitter.com/LukeGreysmith/statuses/670189829716582400 
669915020445265921,UELSRI,Huge congrats @lukegreysmith and @TowerHamletsNow for #LIAwards great to see SUDS guidance brought to life https://t.co/x1JDZiY59u #turasGI,2015-11-26 16:26 UTC,2,78,http://twitter.com/UELSRI/statuses/669915020445265921
