text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude
“@NewstalkFM: Lord Mayor of Dublin wants to block royals from attending 2016 celebrations http://t.co/VuHOvJvhbs #ntfm”#ItWillDefeatDPurpose,FALSE,0,NewstalkFM,19/06/2014 08:28,FALSE,4.79538E+17,4.79541E+17,22646514,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",LeniZayas,0,FALSE,FALSE,NA,NA
"RT @DisparatePost: New tax regime unveiled for offshore oil and gas exploration http://t.co/Bpjyo2u3L3 #ntfm"" - Must improve more! We must …",FALSE,0,NA,18/06/2014 22:43,FALSE,NA,4.79394E+17,NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",tnteacherTim,1,TRUE,FALSE,NA,NA
"New tax regime unveiled for offshore oil and gas exploration http://t.co/Bpjyo2u3L3 #ntfm"" - Must improve more! We must #ownouroil.",FALSE,1,NA,18/06/2014 19:41,FALSE,NA,4.79348E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",DisparatePost,1,FALSE,FALSE,NA,NA
RT @ghook: Talking TV &amp; Movies with Philip Molloy in studio. http://t.co/GmZxPruRmr #ntfm,FALSE,0,NA,18/06/2014 17:39,FALSE,NA,4.79318E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",ecurie12,1,TRUE,FALSE,NA,NA
Talking TV &amp; Movies with Philip Molloy in studio. http://t.co/GmZxPruRmr #ntfm,FALSE,1,NA,18/06/2014 17:39,FALSE,NA,4.79318E+17,NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",ghook,1,FALSE,FALSE,NA,NA
"RT @ghook: Coming up; @ThomasPMolloy on business, @DaveMcIntyreNT on golf, SColeman on politics. PMolloy on movies. http://t.co/qttct3NkZk …",FALSE,0,NA,18/06/2014 16:40,FALSE,NA,4.79303E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",NewstalkFM,1,TRUE,FALSE,NA,NA
"Coming up; @ThomasPMolloy on business, @DaveMcIntyreNT on golf, SColeman on politics. PMolloy on movies. http://t.co/qttct3NkZk  #ntfm",FALSE,1,NA,18/06/2014 16:39,FALSE,NA,4.79302E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",ghook,1,FALSE,FALSE,NA,NA
RT @Genbrennan: The history of The Yellow River Flood with @SeanMoncrieff &amp; @graham_finlay #ntfm http://t.co/Csv58HQMqu,FALSE,0,NA,18/06/2014 15:16,FALSE,NA,4.79281E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",tinaghan,2,TRUE,FALSE,NA,NA
RT @carolineclarke: Opening story on today's #Moncrieff with @seanmoncrieff Each your spinach kids! http://t.co/lkEEHQzu3S #ntfm,FALSE,0,NA,18/06/2014 12:39,FALSE,NA,4.79242E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",SeanMoncrieff,1,TRUE,FALSE,NA,NA
"RT @NewstalkFM: ""Rory McIlroy will represent #Ireland at the 2016 Olympics: http://t.co/OQt3yvTjj1 #ntfm""",FALSE,0,NA,18/06/2014 12:38,FALSE,NA,4.79242E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",klly82,0,FALSE,FALSE,-6.2655175,53.3364355
